id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,PRIMARY,gd,,ALL,vendor_id_unique,,,,560450,12.5,Using where
1,PRIMARY,img,,eq_ref,PRIMARY,PRIMARY,4,gred.gd.image_id,1,100,
1,PRIMARY,vd,,ref,"PRIMARY,vendor_id_idx",vendor_id_idx,4,gred.gd.vendor_id,1,100,
1,PRIMARY,aa,,ref,"PRIMARY,event_target_idx,goods_id,idx_goods_id",event_target_idx,4,gred.gd.goods_id,2,100,
1,PRIMARY,<derived3>,,ref,<auto_key0>,<auto_key0>,5,gred.aa.eg_id,2,100,Using index
1,PRIMARY,aa,,ref,"PRIMARY,event_target_idx,goods_id,idx_goods_id",event_target_idx,4,gred.gd.goods_id,2,100,
1,PRIMARY,<derived5>,,ref,<auto_key0>,<auto_key0>,5,gred.aa.eg_id,2,100,Using index
1,PRIMARY,dp,,eq_ref,PRIMARY,PRIMARY,4,gred.gd.vendor_delivery_price_id,1,100,
1,PRIMARY,wag,,ref,"goods_id_stock_idx,idx_goods_id",goods_id_stock_idx,4,gred.gd.goods_id,1,100,Using where; Using index
5,DERIVED,eg2,,range,"event_target_idx,goods_id,idx_goods_id,idx_period_start,idx_period_end",idx_period_end,5,,408,2.5,Using index condition; Using where; Using temporary
3,DERIVED,eg1,,range,"event_target_idx,goods_id,idx_goods_id,idx_period_start,idx_period_end",idx_period_end,5,,408,2.5,Using index condition; Using where; Using temporary
